<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<VAL>,<COUNT>,<PREVIOUS>,<COL1>,<COL2>,<TSEClose>,<MarketValue>,<ShareCount>
ZAGROS,d,20120215,000000,12068,12100,12067,12067,55782,673193042,15,12067,زاگرس,13901126,000000,12068,28960800000000,2400000000
ZAGROS,d,20120218,000000,12550,12671,12000,12671,136750,1678678968,56,12068,زاگرس,13901129,000000,12276,30410400000000,2400000000
ZAGROS,d,20120219,000000,12121,12500,12121,12500,7596,94109471,10,12276,زاگرس,13901130,000000,12389,30000000000000,2400000000
ZAGROS,d,20120220,000000,12389,12450,12389,12390,59580,738163000,37,12389,زاگرس,13901201,000000,12389,29736000000000,2400000000
ZAGROS,d,20120221,000000,12391,12500,12391,12391,55294,685367342,16,12389,زاگرس,13901202,000000,12395,29738400000000,2400000000
ZAGROS,d,20120222,000000,12395,12480,12395,12400,240863,3002530299,18,12395,زاگرس,13901203,000000,12466,29760000000000,2400000000
ZAGROS,d,20120225,000000,12466,12665,12466,12500,66450,829401563,31,12466,زاگرس,13901206,000000,12482,30000000000000,2400000000
ZAGROS,d,20120226,000000,12500,12800,12482,12800,49481,622974588,20,12482,زاگرس,13901207,000000,12590,30720000000000,2400000000
ZAGROS,d,20120227,000000,12590,12590,12590,12590,2000,25180000,2,12590,زاگرس,13901208,000000,12590,30216000000000,2400000000
ZAGROS,d,20120229,000000,12500,12896,12500,12500,15285082,191216538664,19,12590,زاگرس,13901210,000000,12510,30000000000000,2400000000
ZAGROS,d,20120303,000000,12510,12550,12510,12510,250651,3135954010,24,12510,زاگرس,13901213,000000,12511,30024000000000,2400000000
ZAGROS,d,20120304,000000,12530,12600,12511,12550,137040,1717410730,28,12511,زاگرس,13901214,000000,12532,30120000000000,2400000000
ZAGROS,d,20120305,000000,12533,12550,12532,12532,66995,839622340,8,12532,زاگرس,13901215,000000,12533,30076800000000,2400000000
ZAGROS,d,20120306,000000,12533,12551,12533,12551,1453645,18219468150,38,12533,زاگرس,13901216,000000,12534,30122400000000,2400000000
ZAGROS,d,20120307,000000,12534,12600,12534,12551,30765,386134090,9,12534,زاگرس,13901217,000000,12551,30122400000000,2400000000
ZAGROS,d,20120310,000000,12554,12555,12554,12555,14400,180785000,8,12551,زاگرس,13901220,000000,12555,30132000000000,2400000000
ZAGROS,d,20120311,000000,12556,12650,12556,12559,77416,972381903,22,12555,زاگرس,13901221,000000,12560,30141600000000,2400000000
ZAGROS,d,20120312,000000,12560,12561,12560,12561,11929,149839169,5,12560,زاگرس,13901222,000000,12561,30146400000000,2400000000
ZAGROS,d,20120313,000000,12561,12610,12561,12610,14039,176570324,12,12561,زاگرس,13901223,000000,12577,30264000000000,2400000000
